gene_set	genes	metric	reprocessed_sample	published_sample	correlation
CPM1_both_at_least3_samples	9690	spearman_abundance	E_T_cell	M_BC_CAR_T	0.8002250007958428
CPM1_both_at_least3_samples	9690	spearman_abundance	E_T_cell	M_T_cell	0.8607127059519061
CPM1_both_at_least3_samples	9690	spearman_abundance	M_B7H3_CAR_T	B_B7H3_CAR_T	0.854658008435309
CPM1_both_at_least3_samples	9690	spearman_abundance	M_B7H3_CAR_T	B_BC_CAR_T	0.8613583507108572
CPM1_both_at_least3_samples	9690	spearman_abundance	M_B7H3_CAR_T	B_T_cell	0.8596541939168697
CPM1_both_at_least3_samples	9690	spearman_abundance	M_B7H3_CAR_T	E_B7H3_CAR_T	0.8568458985273225
CPM1_both_at_least3_samples	9690	spearman_abundance	M_B7H3_CAR_T	E_BC_CAR_T	0.8563849771628955
CPM1_both_at_least3_samples	9690	spearman_abundance	M_B7H3_CAR_T	E_T_cell	0.8438069456611621
CPM1_both_at_least3_samples	9690	spearman_abundance	M_B7H3_CAR_T	M_B7H3_CAR_T	0.9109040619912886
CPM1_both_at_least3_samples	9690	spearman_abundance	M_B7H3_CAR_T	M_BC_CAR_T	0.8831802753979376
CPM1_both_at_least3_samples	9690	spearman_abundance	M_B7H3_CAR_T	M_T_cell	0.8913421541604721
CPM1_both_at_least3_samples	9690	spearman_abundance	M_BC_CAR_T	B_B7H3_CAR_T	0.8688250769065395
CPM1_both_at_least3_samples	9690	spearman_abundance	M_BC_CAR_T	B_BC_CAR_T	0.8448775396763691
CPM1_both_at_least3_samples	9690	spearman_abundance	M_BC_CAR_T	B_T_cell	0.8368342524463728
CPM1_both_at_least3_samples	9690	spearman_abundance	M_BC_CAR_T	E_B7H3_CAR_T	0.8434333942557258
CPM1_both_at_least3_samples	9690	spearman_abundance	M_BC_CAR_T	E_BC_CAR_T	0.8706381699494006
CPM1_both_at_least3_samples	9690	spearman_abundance	M_BC_CAR_T	E_T_cell	0.8260563905186651
CPM1_both_at_least3_samples	9690	spearman_abundance	M_BC_CAR_T	M_B7H3_CAR_T	0.8909797820915014
CPM1_both_at_least3_samples	9690	spearman_abundance	M_BC_CAR_T	M_BC_CAR_T	0.9132649112360717
CPM1_both_at_least3_samples	9690	spearman_abundance	M_BC_CAR_T	M_T_cell	0.8625526366644165
CPM1_both_at_least3_samples	9690	spearman_abundance	M_T_cell	B_B7H3_CAR_T	0.8576124967019291
CPM1_both_at_least3_samples	9690	spearman_abundance	M_T_cell	B_BC_CAR_T	0.8751606916917126
CPM1_both_at_least3_samples	9690	spearman_abundance	M_T_cell	B_T_cell	0.884774124345468
CPM1_both_at_least3_samples	9690	spearman_abundance	M_T_cell	E_B7H3_CAR_T	0.8737993137553955
CPM1_both_at_least3_samples	9690	spearman_abundance	M_T_cell	E_BC_CAR_T	0.8563237356490219
CPM1_both_at_least3_samples	9690	spearman_abundance	M_T_cell	E_T_cell	0.8715806360104258
CPM1_both_at_least3_samples	9690	spearman_abundance	M_T_cell	M_B7H3_CAR_T	0.8815776768563434
CPM1_both_at_least3_samples	9690	spearman_abundance	M_T_cell	M_BC_CAR_T	0.8459404279687642
CPM1_both_at_least3_samples	9690	spearman_abundance	M_T_cell	M_T_cell	0.9098647739852983
CPM1_both_at_least3_samples	9690	pearson_gene_centered_log2_CPM_plus1	B_B7H3_CAR_T	B_B7H3_CAR_T	0.92258500443077
CPM1_both_at_least3_samples	9690	pearson_gene_centered_log2_CPM_plus1	B_B7H3_CAR_T	B_BC_CAR_T	0.24373148676886897
CPM1_both_at_least3_samples	9690	pearson_gene_centered_log2_CPM_plus1	B_B7H3_CAR_T	B_T_cell	-0.2499080887207849
CPM1_both_at_least3_samples	9690	pearson_gene_centered_log2_CPM_plus1	B_B7H3_CAR_T	E_B7H3_CAR_T	0.03107673175583266
CPM1_both_at_least3_samples	9690	pearson_gene_centered_log2_CPM_plus1	B_B7H3_CAR_T	E_BC_CAR_T	0.5686050784216342
CPM1_both_at_least3_samples	9690	pearson_gene_centered_log2_CPM_plus1	B_B7H3_CAR_T	E_T_cell	-0.29410941793314616
CPM1_both_at_least3_samples	9690	pearson_gene_centered_log2_CPM_plus1	B_B7H3_CAR_T	M_B7H3_CAR_T	-0.4425171572728028
CPM1_both_at_least3_samples	9690	pearson_gene_centered_log2_CPM_plus1	B_B7H3_CAR_T	M_BC_CAR_T	-0.06237177527377862
CPM1_both_at_least3_samples	9690	pearson_gene_centered_log2_CPM_plus1	B_B7H3_CAR_T	M_T_cell	-0.5406258158770704
CPM1_both_at_least3_samples	9690	pearson_gene_centered_log2_CPM_plus1	B_BC_CAR_T	B_B7H3_CAR_T	0.243421047565103
CPM1_both_at_least3_samples	9690	pearson_gene_centered_log2_CPM_plus1	B_BC_CAR_T	B_BC_CAR_T	0.9316686208879389
