published_symbol	reason
ENSCAFG00000008658	missing_exact_ROS_symbol
ENSCAFG00000008661	missing_exact_ROS_symbol
ENSCAFG00000008682	missing_exact_ROS_symbol
ENSCAFG00000008701	missing_exact_ROS_symbol
ENSCAFG00000008721	missing_exact_ROS_symbol
ENSCAFG00000008732	missing_exact_ROS_symbol
ENSCAFG00000008758	missing_exact_ROS_symbol
ENSCAFG00000008764	missing_exact_ROS_symbol
ENSCAFG00000008776	missing_exact_ROS_symbol
ENSCAFG00000008805	missing_exact_ROS_symbol
ENSCAFG00000008809	missing_exact_ROS_symbol
ENSCAFG00000008815	missing_exact_ROS_symbol
ENSCAFG00000008873	missing_exact_ROS_symbol
ENSCAFG00000008879	missing_exact_ROS_symbol
ENSCAFG00000008935	missing_exact_ROS_symbol
ENSCAFG00000008941	missing_exact_ROS_symbol
ENSCAFG00000009016	missing_exact_ROS_symbol
ENSCAFG00000009018	missing_exact_ROS_symbol
ENSCAFG00000009065	missing_exact_ROS_symbol
ENSCAFG00000009071	missing_exact_ROS_symbol
ENSCAFG00000009085	missing_exact_ROS_symbol
ENSCAFG00000009086	missing_exact_ROS_symbol
ENSCAFG00000009095	missing_exact_ROS_symbol
ENSCAFG00000009106	missing_exact_ROS_symbol
ENSCAFG00000009113	missing_exact_ROS_symbol
ENSCAFG00000009127	missing_exact_ROS_symbol
ENSCAFG00000009129	missing_exact_ROS_symbol
ENSCAFG00000009164	missing_exact_ROS_symbol
ENSCAFG00000009211	missing_exact_ROS_symbol
ENSCAFG00000009235	missing_exact_ROS_symbol
ENSCAFG00000009244	missing_exact_ROS_symbol
ENSCAFG00000009249	missing_exact_ROS_symbol
ENSCAFG00000009288	missing_exact_ROS_symbol
ENSCAFG00000009308	missing_exact_ROS_symbol
ENSCAFG00000009309	missing_exact_ROS_symbol
ENSCAFG00000009315	missing_exact_ROS_symbol
ENSCAFG00000009353	missing_exact_ROS_symbol
ENSCAFG00000009406	missing_exact_ROS_symbol
ENSCAFG00000009438	missing_exact_ROS_symbol
ENSCAFG00000009523	missing_exact_ROS_symbol
ENSCAFG00000009541	missing_exact_ROS_symbol
ENSCAFG00000009583	missing_exact_ROS_symbol
ENSCAFG00000009602	missing_exact_ROS_symbol
ENSCAFG00000009620	missing_exact_ROS_symbol
ENSCAFG00000009692	missing_exact_ROS_symbol
ENSCAFG00000009702	missing_exact_ROS_symbol
ENSCAFG00000009708	missing_exact_ROS_symbol
ENSCAFG00000009746	missing_exact_ROS_symbol
ENSCAFG00000009787	missing_exact_ROS_symbol
ENSCAFG00000009800	missing_exact_ROS_symbol
ENSCAFG00000009852	missing_exact_ROS_symbol
ENSCAFG00000009857	missing_exact_ROS_symbol
ENSCAFG00000009862	missing_exact_ROS_symbol
ENSCAFG00000009888	missing_exact_ROS_symbol
ENSCAFG00000009894	missing_exact_ROS_symbol
ENSCAFG00000009898	missing_exact_ROS_symbol
ENSCAFG00000009917	missing_exact_ROS_symbol
ENSCAFG00000009927	missing_exact_ROS_symbol
ENSCAFG00000009973	missing_exact_ROS_symbol
ENSCAFG00000009988	missing_exact_ROS_symbol
ENSCAFG00000010012	missing_exact_ROS_symbol
ENSCAFG00000010021	missing_exact_ROS_symbol
ENSCAFG00000010023	missing_exact_ROS_symbol
ENSCAFG00000010051	missing_exact_ROS_symbol
ENSCAFG00000010086	missing_exact_ROS_symbol
ENSCAFG00000010097	missing_exact_ROS_symbol
ENSCAFG00000010098	missing_exact_ROS_symbol
ENSCAFG00000010117	missing_exact_ROS_symbol
ENSCAFG00000010209	missing_exact_ROS_symbol
ENSCAFG00000010224	missing_exact_ROS_symbol
ENSCAFG00000010262	missing_exact_ROS_symbol
ENSCAFG00000010270	missing_exact_ROS_symbol
