run	cluster	gene	detected_fraction	mean_UMI
res0.5_seed0	6	CSF1R	0.15757575757575756	0.22597402597402597
res0.5_seed0	6	MS4A1	0.0008658008658008658	0.0008658008658008658
res0.5_seed0	6	CD79A	0.0017316017316017316	0.0017316017316017316
res0.5_seed0	6	NKG7	0.005194805194805195	0.005194805194805195
res0.5_seed0	6	MKI67	0.05627705627705628	0.07445887445887446
res0.5_seed0	7	CD3D	0.012096774193548387	0.012096774193548387
res0.5_seed0	7	CD3E	0.024193548387096774	0.03225806451612903
res0.5_seed0	7	CD3G	0.004032258064516129	0.004032258064516129
res0.5_seed0	7	CD247	0.012096774193548387	0.016129032258064516
res0.5_seed0	7	LCK	0.016129032258064516	0.020161290322580645
res0.5_seed0	7	CD2	0.036290322580645164	0.04032258064516129
res0.5_seed0	7	CD4	0.004032258064516129	0.004032258064516129
res0.5_seed0	7	CD8A	0.0	0.0
res0.5_seed0	7	CD8B	0.020161290322580645	0.020161290322580645
res0.5_seed0	7	LYZ	0.004032258064516129	0.004032258064516129
res0.5_seed0	7	LST1	0.05241935483870968	0.07258064516129033
res0.5_seed0	7	CSF1R	0.8991935483870968	5.838709677419355
res0.5_seed0	7	MS4A1	0.0	0.0
res0.5_seed0	7	CD79A	0.0	0.0
res0.5_seed0	7	NKG7	0.008064516129032258	0.008064516129032258
res0.5_seed0	7	MKI67	0.04838709677419355	0.06048387096774194
res0.5_seed0	8	CD3D	0.25806451612903225	0.3741935483870968
res0.5_seed0	8	CD3E	0.6064516129032258	1.3741935483870968
res0.5_seed0	8	CD3G	0.33548387096774196	0.5032258064516129
res0.5_seed0	8	CD247	0.36129032258064514	0.5225806451612903
res0.5_seed0	8	LCK	0.23870967741935484	0.2838709677419355
res0.5_seed0	8	CD2	0.2967741935483871	0.4064516129032258
res0.5_seed0	8	CD4	0.07096774193548387	0.09032258064516129
res0.5_seed0	8	CD8A	0.012903225806451613	0.012903225806451613
res0.5_seed0	8	CD8B	0.05161290322580645	0.06451612903225806
res0.5_seed0	8	LYZ	0.0	0.0
res0.5_seed0	8	LST1	0.07096774193548387	0.08387096774193549
res0.5_seed0	8	CSF1R	0.10967741935483871	0.13548387096774195
res0.5_seed0	8	MS4A1	0.0	0.0
res0.5_seed0	8	CD79A	0.05806451612903226	0.05806451612903226
res0.5_seed0	8	NKG7	0.09032258064516129	0.13548387096774195
res0.5_seed0	8	MKI67	0.08387096774193549	0.2129032258064516
res0.5_seed0	9	CD3D	0.020348837209302327	0.020348837209302327
res0.5_seed0	9	CD3E	0.11046511627906977	0.16279069767441862
res0.5_seed0	9	CD3G	0.03197674418604651	0.03197674418604651
res0.5_seed0	9	CD247	0.055232558139534885	0.06976744186046512
res0.5_seed0	9	LCK	0.0436046511627907	0.04941860465116279
res0.5_seed0	9	CD2	0.09593023255813954	0.10174418604651163
res0.5_seed0	9	CD4	0.005813953488372093	0.005813953488372093
res0.5_seed0	9	CD8A	0.0029069767441860465	0.0029069767441860465
res0.5_seed0	9	CD8B	0.06686046511627906	0.0755813953488372
res0.5_seed0	9	LYZ	0.06976744186046512	0.08430232558139535
res0.5_seed0	9	LST1	0.26744186046511625	0.3633720930232558
res0.5_seed0	9	CSF1R	0.688953488372093	3.2761627906976742
res0.5_seed0	9	MS4A1	0.0	0.0
res0.5_seed0	9	CD79A	0.011627906976744186	0.014534883720930232
res0.5_seed0	9	NKG7	0.023255813953488372	0.023255813953488372
res0.5_seed0	9	MKI67	0.2180232558139535	0.5784883720930233
res0.5_seed42	0	CD3D	0.020462633451957295	0.023131672597864767
res0.5_seed42	0	CD3E	0.03469750889679715	0.05338078291814947
res0.5_seed42	0	CD3G	0.020462633451957295	0.02491103202846975
res0.5_seed42	0	CD247	0.036476868327402136	0.05516014234875445
res0.5_seed42	0	LCK	0.014234875444839857	0.01601423487544484
res0.5_seed42	0	CD2	0.037366548042704624	0.04181494661921708
res0.5_seed42	0	CD4	0.0071174377224199285	0.0071174377224199285
res0.5_seed42	0	CD8A	0.0	0.0
res0.5_seed42	0	CD8B	0.021352313167259787	0.02224199288256228
res0.5_seed42	0	LYZ	0.012455516014234875	0.015124555160142349
res0.5_seed42	0	LST1	0.12366548042704627	0.14590747330960854
res0.5_seed42	0	CSF1R	0.19395017793594305	0.3300711743772242
res0.5_seed42	0	MS4A1	0.0008896797153024911	0.0008896797153024911
res0.5_seed42	0	CD79A	0.005338078291814947	0.005338078291814947
res0.5_seed42	0	NKG7	0.004448398576512456	0.004448398576512456
res0.5_seed42	0	MKI67	0.07740213523131673	0.10498220640569395
res0.5_seed42	1	CD3D	0.005154639175257732	0.005154639175257732
res0.5_seed42	1	CD3E	0.015463917525773196	0.015463917525773196
res0.5_seed42	1	CD3G	0.005154639175257732	0.005154639175257732
res0.5_seed42	1	CD247	0.0	0.0
res0.5_seed42	1	LCK	0.015463917525773196	0.015463917525773196
